property_id,property_address,city,state,county,zip_code,property_type,property_segment,year_built,total_square_feet,market_value,assessed_value,assessment_ratio,tax_rate,annual_taxes,cap_rate,vacancy_rate,expense_ratio,potential_gross_income,effective_gross_income,operating_expenses,net_operating_income,price_per_sqft,assessment_accuracy,last_sale_date,last_sale_price,owner_name,owner_type,property_manager,assessment_date,appeal_deadline,market_area
PROP_000011,7032 Park Blvd,Kansas City,MO,Jackson County,64117,Medical Office,office,2016,11241,2818078.91,458223.95,0.1626,0.0324,14846.46,0.0793,0.16,0.303,320459.48,269198.55,81570.21,187628.34,250.7,under_10,2022-06-18,2777064.15,Global Holdings LP,Institutional,Global Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000012,217 Oak Ave,Kansas City,MO,Jackson County,64111,Class B Office,office,2002,68903,9722592.47,1748545.06,0.1798,0.0324,56652.86,0.0656,0.1608,0.3677,1009159.66,846902.62,311395.95,535506.67,141.11,under_10,2024-12-18,9763882.73,American Properties LLC,REIT,American Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000013,9540 Industrial Way,Kansas City,MO,Jackson County,64114,Class C Office,office,1972,92684,12803589.75,2710179.03,0.2117,0.0324,87809.8,0.0812,0.1947,0.4265,1812231.66,1459443.59,622418.56,837025.03,138.14,under_10,2024-10-26,13414254.72,Global Investments LP,REIT,Global Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000014,1712 Main St,Kansas City,MO,Jackson County,64114,Class A Office,office,1984,242077,91907476.9,17561847.71,0.1911,0.0324,569003.87,0.0909,0.0608,0.3807,13492100.06,12671318.44,4823858.13,7847460.31,379.66,under_10,2024-04-18,92907956.52,Pacific Holdings LLC,Institutional,Pacific Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000015,9116 Oak Ave,Kansas City,MO,Jackson County,64112,Class C Office,office,1990,60296,5698817.42,886338.39,0.1555,0.0324,28717.36,0.0789,0.2249,0.2651,611650.62,474092.11,125670.9,348421.21,94.51,under_10,2024-06-06,5538818.66,American Management LLC,Government,American Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000016,6496 Center Dr,Kansas City,MO,Jackson County,64119,Medical Office,office,1979,17008,7989227.24,1317901.59,0.165,0.0324,42700.01,0.0921,0.0829,0.2504,981356.59,899975.22,225381.76,674593.45,469.73,under_10,2024-04-19,7501983.02,Central Holdings LP,Private,Central Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000017,7911 First St,Kansas City,MO,Jackson County,64113,Class A Office,office,1968,323657,176466198.92,39548775.26,0.2241,0.0324,1281380.32,0.0668,0.1127,0.26,15937115.06,14140668.12,3676976.26,10463691.86,545.23,under_10,2024-12-24,185741926.92,American Management LLC,Institutional,American Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000018,1443 Business Pkwy,Kansas City,MO,Jackson County,64117,Apartment Complex,multifamily,1990,120847,15158785.81,3235463.93,0.2134,0.0324,104829.03,0.0917,0.0992,0.3784,2236313.31,2014374.71,762150.25,1252224.46,125.44,under_10,2023-11-16,14684857.8,Atlantic Holdings Inc,REIT,Atlantic Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000019,9324 Oak Ave,Kansas City,MO,Jackson County,64116,Class B Office,office,1976,129858,25281749.4,4030494.37,0.1594,0.0324,130588.02,0.0876,0.0645,0.3417,3362331.72,3145432.33,1074659.3,2070773.03,194.69,under_10,2023-05-29,28170423.18,National Management Inc,Institutional,National Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000020,8766 Main St,Kansas City,MO,Jackson County,64116,Medical Office,office,1974,27217,8091171.79,1500520.67,0.1855,0.0324,48616.87,0.0781,0.1586,0.3105,917029.89,771548.98,239568.6,531980.37,297.28,under_10,2024-10-05,8679602.3,Premier Real Estate Inc,Institutional,Premier Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000021,4425 Industrial Way,Kansas City,MO,Jackson County,64118,Class A Office,office,1995,162788,51065895.36,9683801.67,0.1896,0.0324,313755.17,0.0713,0.1186,0.3875,5946056.39,5240996.47,2030883.12,3210113.35,313.7,under_10,2025-02-11,43460330.19,Premier Real Estate LLC,Institutional,Premier Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000022,9289 Main St,Kansas City,MO,Jackson County,64111,Class A Office,office,2007,354030,237092813.49,52423200.92,0.2211,0.0324,1698511.71,0.0698,0.1384,0.3911,27198622.93,23435228.29,9166302.61,14268925.67,669.7,under_10,2024-07-13,232098693.76,National Real Estate Inc,Private,National Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000023,5962 Park Blvd,Kansas City,MO,Jackson County,64118,Class B Office,office,1979,90808,18614590.9,3766693.99,0.2024,0.0324,122040.89,0.093,0.2444,0.258,2332844.89,1762606.03,454715.3,1307890.73,204.99,under_10,2024-01-14,20650686.66,Global Real Estate Corp,Institutional,Global Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000024,4165 Center Dr,Kansas City,MO,Jackson County,64111,Class B Office,office,2020,118080,15677139.39,3002566.78,0.1915,0.0324,97283.16,0.0871,0.1164,0.4362,2421677.2,2139704.14,933260.16,1206443.99,132.77,under_10,2024-02-12,14264187.81,United Real Estate LP,Government,United Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000025,3264 Business Pkwy,Kansas City,MO,Jackson County,64116,Class C Office,office,2004,50830,5698047.08,946154.67,0.166,0.0324,30655.41,0.0889,0.0955,0.2547,679394.72,614499.55,156533.24,457966.31,112.1,under_10,2022-07-04,5526555.9,Atlantic Holdings LLC,Non-Profit,Atlantic Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000026,4449 Main St,Kansas City,MO,Jackson County,64117,Apartment Complex,multifamily,2000,101808,29078488.61,6132946.78,0.2109,0.0324,198707.48,0.0685,0.2441,0.2536,2666990.33,2016031.01,511205.68,1504825.33,285.62,under_10,2022-12-01,30005006.49,National Management LP,Non-Profit,National Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000027,127 Park Blvd,Kansas City,MO,Jackson County,64117,Manufacturing,industrial,2000,141263,12754626.98,2806105.67,0.22,0.0324,90917.82,0.0823,0.1009,0.4126,1787094.5,1606697.14,662980.41,943716.72,90.29,under_10,2024-08-30,13595492.07,Atlantic Investments LLC,REIT,Atlantic Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000028,2185 Park Blvd,Kansas City,MO,Jackson County,64116,Class C Office,office,2011,71469,8053958.37,1788481.66,0.2221,0.0324,57946.81,0.0773,0.1305,0.3091,900579.87,783072.14,242071.91,541000.23,112.69,under_10,2025-05-12,7580083.47,Pacific Investments Inc,Institutional,Pacific Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000029,3601 Industrial Way,Kansas City,MO,Jackson County,64117,Class A Office,office,1971,245385,140050299.24,23373652.33,0.1669,0.0324,757306.34,0.0832,0.1144,0.3384,17610957.97,15595386.55,5276811.38,10318575.17,570.74,under_10,2024-01-17,147310324.85,United Real Estate Corp,Institutional,United Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000030,1293 Industrial Way,Kansas City,MO,Jackson County,64118,Class A Office,office,2023,442871,120264394.94,21253737.84,0.1767,0.0324,688621.11,0.0657,0.099,0.345,12069679.29,10875161.12,3752227.14,7122933.98,271.56,under_10,2023-02-14,111027528.0,Pacific Management Inc,Private,Pacific Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000031,7711 Main St,Kansas City,MO,Jackson County,64113,Class B Office,office,2019,37941,11113462.84,1918434.03,0.1726,0.0324,62157.26,0.0716,0.2108,0.3892,1302086.76,1027578.26,399915.33,627662.94,292.91,under_10,2023-08-02,12613912.38,Global Real Estate LP,Government,Global Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000032,7405 First St,Kansas City,MO,Jackson County,64114,Shopping Center,retail,1995,692412,208200590.72,37291485.05,0.1791,0.0324,1208244.12,0.0918,0.1353,0.4721,36186845.85,31289023.16,14770184.23,16518838.93,300.69,under_10,2022-08-24,216117320.56,Central Investments Corp,REIT,Central Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000033,8949 Oak Ave,Kansas City,MO,Jackson County,64118,Class B Office,office,1979,125309,18040136.84,3486164.48,0.1932,0.0324,112951.73,0.0736,0.1043,0.3139,1934597.33,1732735.6,543978.33,1188757.27,143.97,under_10,2024-02-29,15681725.49,United Properties Inc,Government,United Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000034,9669 Main St,Kansas City,MO,Jackson County,64117,Class A Office,office,1998,193477,86432305.57,18407226.27,0.213,0.0324,596394.13,0.0775,0.0914,0.334,10054772.13,9136098.99,3051719.3,6084379.69,446.73,under_10,2023-03-06,95597101.95,Pacific Investments LLC,Government,Pacific Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000035,3695 Center Dr,Kansas City,MO,Jackson County,64118,Class A Office,office,2003,302182,166572687.74,37812567.66,0.227,0.0324,1225127.19,0.0814,0.1707,0.2941,19204554.65,15927287.45,4684338.5,11242948.95,551.23,under_10,2023-02-04,177775436.12,Pacific Investments LLC,Government,Pacific Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000036,544 Oak Ave,Kansas City,MO,Jackson County,64113,Retail Strip Center,retail,1966,21728,5469431.61,913955.1,0.1671,0.0324,29612.15,0.081,0.2314,0.3776,711970.97,547231.02,206616.83,340614.19,251.72,under_10,2023-11-27,5271061.67,Pacific Properties LP,Institutional,Pacific Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000037,7006 Center Dr,Kansas City,MO,Jackson County,64111,Class A Office,office,2004,258393,86998690.71,18615550.81,0.214,0.0324,603143.85,0.0878,0.1258,0.4004,12744695.75,11141091.31,4460914.85,6680176.46,336.69,under_10,2024-02-08,90917392.57,National Investments LLC,Private,National Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000038,2168 Industrial Way,Kansas City,MO,Jackson County,64119,Retail Strip Center,retail,1992,9067,2234417.03,463428.25,0.2074,0.0324,15015.08,0.071,0.0541,0.2457,210266.27,198895.91,48871.65,150024.26,246.43,under_10,2023-04-18,2011727.75,National Management Inc,Non-Profit,National Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000039,5211 Business Pkwy,Kansas City,MO,Jackson County,64114,Retail Strip Center,retail,1973,20012,4347099.11,685221.9,0.1576,0.0324,22201.19,0.0699,0.1122,0.3736,485187.19,430745.41,160928.82,269816.59,217.22,under_10,2023-09-03,4803926.94,Pacific Properties LLC,Non-Profit,Pacific Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000040,6171 Oak Ave,Kansas City,MO,Jackson County,64119,Class B Office,office,1973,41733,12382109.47,1991118.1,0.1608,0.0324,64512.23,0.082,0.0582,0.3565,1577525.5,1485691.7,529721.96,955969.74,296.7,under_10,2022-12-07,14093766.1,Atlantic Real Estate LP,Government,Atlantic Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000041,8917 Industrial Way,Kansas City,MO,Jackson County,64117,Warehouse,industrial,1991,380833,16910279.32,3371413.51,0.1994,0.0324,109233.8,0.0703,0.1543,0.3951,1964948.02,1661659.57,656583.55,1005076.02,44.4,under_10,2024-11-16,15788763.81,Central Investments Corp,Government,Central Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000042,8198 Commerce Dr,Kansas City,MO,Jackson County,64117,Class B Office,office,1993,73927,21215290.27,3327203.19,0.1568,0.0324,107801.38,0.0821,0.1836,0.3173,2551086.7,2082611.02,660769.42,1421841.6,286.98,under_10,2023-06-15,19812907.53,United Investments Inc,Non-Profit,United Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000043,4054 Business Pkwy,Kansas City,MO,Jackson County,64119,Class B Office,office,2022,193811,60957980.5,10772124.45,0.1767,0.0324,349016.83,0.0817,0.1533,0.2882,6994583.62,5922135.94,1706826.41,4215309.53,314.52,under_10,2022-11-07,66314959.32,Central Management Inc,Private,Central Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000044,7853 Commerce Dr,Kansas City,MO,Jackson County,64117,Retail Strip Center,retail,2018,43566,5344301.69,1071288.62,0.2005,0.0324,34709.75,0.0858,0.1112,0.3745,732643.92,651143.73,243831.63,407312.1,122.67,under_10,2023-11-05,5034262.17,Pacific Management Corp,Institutional,Pacific Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000045,3133 Park Blvd,Kansas City,MO,Jackson County,64116,Warehouse,industrial,1972,73258,6083881.63,1143090.39,0.1879,0.0324,37036.13,0.0745,0.1986,0.4853,880148.95,705372.31,342291.27,363081.04,83.05,under_10,2024-04-10,5711997.91,Global Investments Corp,REIT,Global Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000046,993 Center Dr,Kansas City,MO,Jackson County,64111,Class A Office,office,1996,114079,36979445.97,7625405.97,0.2062,0.0324,247063.15,0.0862,0.0753,0.2591,4304415.5,3980221.6,1031287.91,2948933.68,324.16,under_10,2022-09-24,36743304.94,United Investments LLC,REIT,United Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000047,1170 Business Pkwy,Kansas City,MO,Jackson County,64113,Retail Strip Center,retail,1979,29164,7265761.45,1414331.81,0.1947,0.0324,45824.35,0.0726,0.2223,0.2342,688594.84,535489.5,125425.64,410063.86,249.13,under_10,2023-08-29,6361568.48,Central Real Estate LLC,Institutional,Central Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000048,8661 Business Pkwy,Kansas City,MO,Jackson County,64118,Retail Strip Center,retail,1999,20525,3691881.34,699716.6,0.1895,0.0324,22670.82,0.0775,0.1692,0.3855,465546.16,386763.94,149107.36,237656.57,179.87,under_10,2025-01-09,3813304.63,Central Investments Corp,Private,Central Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000049,9143 Oak Ave,Kansas City,MO,Jackson County,64119,Class C Office,office,2020,32235,5105602.43,941948.51,0.1845,0.0324,30519.13,0.0729,0.0662,0.298,530463.24,495326.68,147593.99,347732.69,158.39,under_10,2023-09-24,4389755.9,United Real Estate LP,REIT,United Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000050,4434 Park Blvd,Kansas City,MO,Jackson County,64113,Class A Office,office,1994,390648,122736277.18,19662320.73,0.1602,0.0324,637059.19,0.0908,0.0642,0.2967,15843543.98,14825818.85,4398594.53,10427224.32,314.19,under_10,2024-07-25,106955208.86,Pacific Real Estate Inc,Institutional,Pacific Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000051,2137 Industrial Way,Kansas City,MO,Jackson County,64119,Class A Office,office,2016,435565,142378368.97,28527953.89,0.2004,0.0324,924305.71,0.0875,0.1638,0.3077,17989387.89,15041981.21,4628750.31,10413230.9,326.88,under_10,2024-11-29,146565858.98,Premier Investments Corp,Government,Premier Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000052,9524 Main St,Kansas City,MO,Jackson County,64113,Class B Office,office,2020,94494,24170539.82,4608146.59,0.1907,0.0324,149303.95,0.0658,0.0958,0.3849,2584516.2,2336958.62,899401.13,1437557.49,255.79,under_10,2022-06-15,25269159.66,Premier Management LLC,REIT,Premier Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000053,7800 Commerce Dr,Kansas City,MO,Jackson County,64112,Warehouse,industrial,1980,105152,10703663.12,1829750.64,0.1709,0.0324,59283.92,0.0781,0.2128,0.4907,1640943.01,1291669.95,633843.85,657826.1,101.79,under_10,2023-07-07,10419946.76,Pacific Holdings Corp,Government,Pacific Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000054,1542 Commerce Dr,Kansas City,MO,Jackson County,64118,Class B Office,office,1960,85554,22954052.78,4807081.04,0.2094,0.0324,155749.43,0.077,0.2021,0.2573,2380324.95,1899261.39,488754.84,1410506.55,268.3,under_10,2022-10-09,22356656.83,Premier Holdings LLC,Institutional,Premier Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000055,3435 Center Dr,Kansas City,MO,Jackson County,64119,Class A Office,office,1975,291811,103449180.25,16329502.05,0.1579,0.0324,529075.87,0.0877,0.1751,0.402,15170185.16,12514162.62,5030669.69,7483492.93,354.51,under_10,2025-03-14,118133175.32,United Holdings LP,Non-Profit,United Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000056,3781 Oak Ave,Kansas City,MO,Jackson County,64119,Class B Office,office,1997,72730,20242857.28,3324946.35,0.1643,0.0324,107728.26,0.0743,0.0527,0.3316,2250891.16,2132190.66,707030.45,1425160.21,278.33,under_10,2022-07-05,21490292.78,Central Real Estate Inc,Government,Central Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000057,9920 First St,Kansas City,MO,Jackson County,64117,Manufacturing,industrial,2024,525937,79408572.98,16947151.24,0.2134,0.0324,549087.7,0.0723,0.1603,0.3151,8383682.43,7040172.04,2218187.87,4821984.17,150.98,under_10,2023-11-12,87044885.85,National Holdings LP,REIT,National Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000058,7416 Industrial Way,Kansas City,MO,Jackson County,64119,Medical Office,office,2001,22566,10417573.3,2273437.49,0.2182,0.0324,73659.37,0.0824,0.182,0.4231,1487801.8,1217039.5,514871.14,702168.36,461.65,under_10,2024-04-21,11920124.79,Atlantic Holdings LP,Institutional,Atlantic Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000059,7849 Business Pkwy,Kansas City,MO,Jackson County,64111,Shopping Center,retail,1976,649573,135683656.19,22547818.33,0.1662,0.0324,730549.31,0.0907,0.1322,0.2955,17463483.61,15155596.6,4477764.94,10677831.66,208.88,under_10,2022-07-19,154625919.15,Pacific Properties LP,REIT,Pacific Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000060,351 First St,Kansas City,MO,Jackson County,64119,Warehouse,industrial,1993,465973,19023251.24,3671297.46,0.193,0.0324,118950.04,0.0904,0.0699,0.4731,3262249.54,3034080.17,1435521.95,1598558.23,40.82,under_10,2023-06-19,19726689.61,Pacific Properties LLC,Government,Pacific Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000061,5288 Industrial Way,Kansas City,MO,Jackson County,64114,Shopping Center,retail,1996,731403,105736741.61,23272967.57,0.2201,0.0324,754044.15,0.0749,0.1849,0.3601,12369069.01,10082380.68,3630531.13,6451849.56,144.57,under_10,2024-02-02,113564423.08,American Management LLC,Government,American Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000062,5006 Main St,Kansas City,MO,Jackson County,64116,Class B Office,office,2005,35806,10350746.91,1659886.62,0.1604,0.0324,53780.33,0.0861,0.0701,0.2833,1243670.7,1156487.58,327601.66,828885.93,289.08,under_10,2023-04-06,10135513.86,American Holdings LLC,Institutional,American Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000063,6367 Park Blvd,Kansas City,MO,Jackson County,64114,Class A Office,office,2019,298484,113467615.66,20930258.16,0.1845,0.0324,678140.36,0.0855,0.086,0.285,13561469.94,12395029.23,3532755.26,8862273.97,380.15,under_10,2023-12-09,112091383.94,Central Management Inc,Private,Central Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000064,7337 Commerce Dr,Kansas City,MO,Jackson County,64119,Shopping Center,retail,1998,992573,296267684.26,64413193.91,0.2174,0.0324,2086987.48,0.092,0.1855,0.2474,36230549.27,29508978.89,7300305.57,22208673.32,298.48,under_10,2024-03-31,340652159.21,Premier Investments Corp,Government,Premier Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000065,4937 Main St,Kansas City,MO,Jackson County,64111,Class A Office,office,2023,75917,22089942.09,4215131.95,0.1908,0.0324,136570.28,0.0822,0.165,0.4485,3290996.94,2748106.23,1232631.2,1515475.04,290.97,under_10,2023-10-04,23917272.77,Pacific Holdings LLC,Institutional,Pacific Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000066,2340 Oak Ave,Kansas City,MO,Jackson County,64111,Class B Office,office,2006,169138,50387993.08,8509534.03,0.1689,0.0324,275708.9,0.0716,0.088,0.3001,5152744.96,4699167.38,1410339.3,3288828.08,297.91,under_10,2024-08-16,44192286.09,American Holdings LP,REIT,American Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000067,6094 Center Dr,Kansas City,MO,Jackson County,64116,Class A Office,office,2003,191294,105444168.33,18733079.46,0.1777,0.0324,606951.77,0.0703,0.0764,0.3579,11539113.38,10657156.33,3813999.65,6843156.69,551.22,under_10,2024-09-19,104442387.23,United Holdings LP,Private,United Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000068,6611 Commerce Dr,Kansas City,MO,Jackson County,64116,Manufacturing,industrial,1975,167594,21439203.06,3785379.08,0.1766,0.0324,122646.28,0.0718,0.1853,0.4023,2574392.63,2097448.44,843849.38,1253599.06,127.92,under_10,2022-10-24,20593977.44,National Investments LLC,REIT,National Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000069,7824 Main St,Kansas City,MO,Jackson County,64112,Class C Office,office,2019,81619,10043885.97,2063309.88,0.2054,0.0324,66851.24,0.0842,0.1243,0.385,1374330.32,1203508.3,463311.35,740196.95,123.06,under_10,2023-09-02,10493569.17,Atlantic Management Inc,Private,Atlantic Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000070,3946 First St,Kansas City,MO,Jackson County,64118,Class B Office,office,1979,46641,6396169.38,1444609.64,0.2259,0.0324,46805.35,0.0661,0.2492,0.2732,581873.26,436878.89,119365.84,317513.05,137.14,under_10,2023-01-14,6693441.39,Pacific Investments Corp,Government,Pacific Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000071,7364 Industrial Way,Kansas City,MO,Jackson County,64117,Apartment Complex,multifamily,2005,176389,32065166.4,5487486.83,0.1711,0.0324,177794.57,0.0935,0.0565,0.3112,4354497.84,4108280.34,1278328.35,2829951.99,181.79,under_10,2025-01-08,31085315.61,Global Holdings LLC,Institutional,Global Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000072,9883 Main St,Kansas City,MO,Jackson County,64113,Class C Office,office,1986,21011,4310029.69,753680.89,0.1749,0.0324,24419.26,0.0897,0.0683,0.2924,546540.61,509192.93,148898.79,360294.14,205.13,under_10,2024-12-23,4736487.09,American Holdings Inc,Non-Profit,American Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000073,9864 Main St,Kansas City,MO,Jackson County,64116,Class B Office,office,1982,64305,16211702.39,2509626.78,0.1548,0.0324,81311.91,0.0894,0.0966,0.4049,2435096.35,2199866.69,890668.2,1309198.49,252.11,under_10,2024-09-29,16995007.96,Premier Properties Inc,Private,Premier Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000074,2954 Center Dr,Kansas City,MO,Jackson County,64112,Medical Office,office,1968,11637,2524309.06,480132.69,0.1902,0.0324,15556.3,0.0887,0.0976,0.3148,326751.49,294865.01,92810.03,202054.98,216.92,under_10,2022-09-10,2485138.26,American Properties LP,REIT,American Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000075,8643 Center Dr,Kansas City,MO,Jackson County,64119,Class A Office,office,2011,289084,136670147.03,23668143.99,0.1732,0.0324,766847.87,0.0786,0.0943,0.373,17124712.73,15509681.91,5785442.75,9724239.16,472.77,under_10,2022-12-21,144300338.67,Central Real Estate LLC,Government,Central Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
