property_id,property_address,city,state,zip_code,property_type,property_segment,year_built,total_square_feet,market_value,assessed_value,assessment_ratio,tax_rate,annual_taxes,cap_rate,vacancy_rate,expense_ratio,potential_gross_income,effective_gross_income,operating_expenses,net_operating_income,price_per_sqft,assessment_accuracy,last_sale_date,last_sale_price,owner_name,owner_type,property_manager,assessment_date,appeal_deadline,market_area
PROP_000037,5082 Technology Dr,New York,NY,10011,Class A Office,office,1967,96991,112908677.39,43617644.26,0.3863,0.021,915970.53,0.0515,0.1638,0.2749,8025896.82,6710922.57,1844636.2,4866286.37,1164.11,under_15,2022-04-23,112930002.55,Johnson Ventures LLC,Government,Martinez Group Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000038,9541 Main St,New York,NY,10003,Class A Office,office,1989,363526,453706468.56,174147506.26,0.3838,0.021,3657097.63,0.0706,0.0541,0.4143,54680667.1,51719758.67,21426681.38,30293077.29,1248.07,under_15,2020-02-01,457148075.49,Jones Investments Development,Government,Davis Properties Holdings,2024-01-01,2024-06-30,"New York, NY"
PROP_000039,6661 Commerce Dr,New York,NY,10001,Class C Office,office,2012,184749,149763927.65,69804665.54,0.4661,0.021,1465897.98,0.0677,0.116,0.3076,14654372.03,12955040.31,3985534.71,8969505.6,810.63,fair,2020-04-06,125086414.29,National Holdings Real Estate,REIT,Rodriguez Management Capital,2024-01-01,2024-06-30,"New York, NY"
PROP_000040,4819 Industrial Way,New York,NY,10016,Class A Office,office,1984,281811,189947383.39,111676632.15,0.5879,0.021,2345209.28,0.0481,0.202,0.3598,14284812.6,11399307.49,4101971.58,7297335.91,674.02,over_30,2024-01-01,154151376.73,Brown Investments Properties,Non-Profit,Atlantic Properties LP,2024-01-01,2024-06-30,"New York, NY"
PROP_000041,8005 Industrial Way,New York,NY,10004,Class A Office,office,2019,71586,98103395.42,44139356.36,0.4499,0.021,926926.48,0.0604,0.1933,0.3047,8515591.55,6869351.73,2092988.29,4776363.44,1370.43,fair,2020-03-29,100115106.66,Martinez Trust Corp,REIT,Atlantic Partners Real Estate,2024-01-01,2024-06-30,"New York, NY"
PROP_000042,8035 Market St,New York,NY,10010,Class C Office,office,1960,158289,172279055.54,66107406.36,0.3837,0.021,1388255.53,0.0746,0.182,0.3393,19455119.95,15914518.65,5399947.03,10514571.62,1088.38,under_15,2019-03-05,190394038.19,Garcia Capital LP,Non-Profit,Miller Realty Investment Group,2024-01-01,2024-06-30,"New York, NY"
PROP_000043,1744 Industrial Way,New York,NY,10002,Medical Office,office,2008,212416,366966194.22,165057647.15,0.4498,0.021,3466210.59,0.0601,0.0574,0.368,34893768.69,32890729.5,12104975.35,20785754.16,1727.58,fair,2019-06-19,427213482.38,Global Holdings Corp,REIT,Jones Partners Development,2024-01-01,2024-06-30,"New York, NY"
PROP_000044,8964 Main St,New York,NY,10018,Medical Office,office,1970,456570,290489629.72,117083632.42,0.4031,0.021,2458756.28,0.0687,0.1133,0.4019,33389279.11,29605197.62,11897747.53,17707450.09,636.24,under_10,2024-08-05,259671032.17,Jones Capital Inc,Government,Johnson Management Corp,2024-01-01,2024-06-30,"New York, NY"
PROP_000045,9372 Corporate Blvd,New York,NY,10003,Class C Office,office,1963,34112,21540915.57,9493114.88,0.4407,0.021,199355.41,0.0458,0.125,0.3562,1533264.82,1341655.45,477942.3,863713.15,631.48,fair,2023-06-16,18741194.13,Miller Ventures LP,Government,Williams Capital Holdings,2024-01-01,2024-06-30,"New York, NY"
PROP_000046,5761 Business Pkwy,New York,NY,10005,Class C Office,office,2018,143864,199769922.95,118740905.0,0.5944,0.021,2493559.0,0.0463,0.1855,0.3383,13984873.4,11390369.24,3853885.38,7536483.86,1388.6,over_30,2018-03-13,236689727.86,Davis Group LP,Government,Johnson Capital Capital,2024-01-01,2024-06-30,"New York, NY"
PROP_000047,903 Business Pkwy,New York,NY,10016,Corporate Campus,office,2005,311366,225962090.45,96821881.95,0.4285,0.021,2033259.52,0.0558,0.216,0.2516,16857693.24,13216304.86,3325481.25,9890823.61,725.71,fair,2016-01-09,262491600.21,First Ventures Investment Group,Private,Martinez Group Corp,2024-01-01,2024-06-30,"New York, NY"
PROP_000048,6907 Park Blvd,New York,NY,10004,Class A Office,office,1965,171969,199405695.32,90446599.04,0.4536,0.021,1899378.58,0.0436,0.1965,0.309,12583835.21,10111464.53,3124665.9,6986798.62,1159.54,fair,2023-11-18,222258609.84,Garcia Trust Real Estate,Institutional,Jones Management Properties,2024-01-01,2024-06-30,"New York, NY"
PROP_000049,6611 Commerce Dr,New York,NY,10010,Class C Office,office,1974,255540,346969942.97,160104706.14,0.4614,0.021,3362198.83,0.0671,0.0951,0.3849,37822546.85,34224755.02,13172466.36,21052288.66,1357.79,fair,2024-05-08,387313105.39,Central Properties Holdings,Institutional,Jones Ventures Capital,2024-01-01,2024-06-30,"New York, NY"
PROP_000050,1135 Corporate Blvd,New York,NY,10016,Class C Office,office,1973,363808,192262491.91,87552418.39,0.4554,0.021,1838600.79,0.0531,0.2386,0.372,16263215.34,12382262.02,4606405.03,7775857.0,528.47,fair,2017-07-02,177049927.92,Williams Realty LLC,Institutional,Johnson Properties LP,2024-01-01,2024-06-30,"New York, NY"
PROP_000051,1722 Industrial Way,New York,NY,10018,Corporate Campus,office,1977,213762,166417943.81,67181235.34,0.4037,0.021,1410805.94,0.0462,0.1985,0.333,11521839.59,9235286.71,3075137.19,6160149.52,778.52,under_10,2020-10-14,195644467.18,Pacific Capital Holdings,Government,Garcia Properties Investment Group,2024-01-01,2024-06-30,"New York, NY"
PROP_000052,3575 Corporate Blvd,New York,NY,10018,Corporate Campus,office,2005,41745,36177737.67,17042221.9,0.4711,0.021,357886.66,0.073,0.2398,0.2683,3607939.59,2742747.89,735974.39,2006773.5,866.64,fair,2025-02-14,29674116.58,Williams Ventures LP,REIT,Rodriguez Capital Development,2024-01-01,2024-06-30,"New York, NY"
PROP_000053,4206 Park Blvd,New York,NY,10002,Class B Office,office,1989,182259,214338631.87,80354135.01,0.3749,0.021,1687436.84,0.0458,0.2217,0.276,13555266.43,10550318.36,2911871.26,7638447.09,1176.01,under_15,2017-12-13,245756207.5,Pacific Capital Development,Institutional,Premier Realty Corp,2024-01-01,2024-06-30,"New York, NY"
PROP_000054,810 Technology Dr,New York,NY,10017,Medical Office,office,1974,400943,134234621.18,79400529.97,0.5915,0.021,1667411.13,0.0444,0.1526,0.3508,9172276.46,7772150.55,2726219.67,5045930.88,334.8,over_30,2021-12-24,131981762.72,Smith Management Capital,Government,Davis Management Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000055,9887 Commerce Dr,New York,NY,10005,Class A Office,office,2001,328923,165346517.6,72731918.48,0.4399,0.021,1527370.29,0.0619,0.1766,0.315,14950610.62,12310103.37,3878139.13,8431964.24,502.69,fair,2020-04-10,165713657.93,Johnson Trust LP,Government,Brown Holdings Investment Group,2024-01-01,2024-06-30,"New York, NY"
PROP_000056,7870 Oak Ave,New York,NY,10002,Medical Office,office,2011,228098,318953039.88,157419249.65,0.4935,0.021,3305804.24,0.055,0.183,0.2805,24369946.75,19909720.77,5585229.87,14324490.9,1398.32,over_10,2016-01-14,266053320.41,Garcia Investments Real Estate,REIT,Rodriguez Trust Investment Group,2024-01-01,2024-06-30,"New York, NY"
PROP_000057,5861 Oak Ave,New York,NY,10018,Class A Office,office,2012,195387,316982041.23,173690560.04,0.548,0.021,3647501.76,0.0787,0.1942,0.3701,39620841.59,31925993.32,11815236.04,20110757.28,1622.33,over_20,2019-09-03,280559385.33,Brown Properties Investment Group,Non-Profit,Jones Ventures LP,2024-01-01,2024-06-30,"New York, NY"
PROP_000058,5851 Main St,New York,NY,10003,Medical Office,office,1963,329288,434440650.36,186289407.78,0.4288,0.021,3912077.56,0.0705,0.1047,0.4343,54139826.35,48473872.75,21052566.69,27421306.06,1319.33,fair,2015-08-11,372446228.54,Johnson Investments LLC,REIT,Brown Holdings Capital,2024-01-01,2024-06-30,"New York, NY"
PROP_000059,2679 Business Pkwy,New York,NY,10001,Medical Office,office,2003,92527,75160772.16,37616564.36,0.5005,0.021,789947.85,0.0434,0.1635,0.2605,4411013.34,3689730.12,961255.0,2728475.12,812.31,over_10,2017-10-21,62581309.97,Miller Management Development,Government,Brown Trust Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000060,9919 Main St,New York,NY,10001,Class C Office,office,2015,68138,52816194.75,20191392.58,0.3823,0.021,424019.24,0.0418,0.1834,0.3291,3291761.68,2687965.32,884482.19,1803483.13,775.14,under_15,2023-01-26,48620885.29,Global Group Properties,Institutional,Metropolitan Holdings Corp,2024-01-01,2024-06-30,"New York, NY"
PROP_000061,793 Center Dr,New York,NY,10001,Class B Office,office,2008,289226,382964777.17,155465057.5,0.406,0.021,3264766.21,0.0542,0.1836,0.3294,30934049.36,25254259.87,8319112.69,16935147.18,1324.1,under_10,2020-03-16,447480928.33,Martinez Holdings Development,Government,Miller Group Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000062,1834 First St,New York,NY,10011,Medical Office,office,1962,180272,82565611.29,31530938.57,0.3819,0.021,662149.71,0.0545,0.1879,0.3373,6787347.94,5511855.89,1859382.45,3652473.44,458.01,under_15,2018-10-04,79277842.58,Premier Partners LP,Institutional,Johnson Trust Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000063,2499 Broadway,New York,NY,10004,Corporate Campus,office,1984,484964,555506674.72,277476754.08,0.4995,0.021,5827011.84,0.0726,0.2138,0.2973,57390001.01,45120608.75,13412271.05,31708337.7,1145.46,over_10,2023-06-02,578260002.64,Johnson Investments Holdings,Government,Martinez Management Development,2024-01-01,2024-06-30,"New York, NY"
PROP_000064,4600 Business Pkwy,New York,NY,10001,Corporate Campus,office,2001,463114,737976921.27,360198385.46,0.4881,0.021,7564166.09,0.0577,0.0637,0.3106,61749975.41,57819141.68,17956548.95,39862592.73,1593.51,over_10,2021-06-01,740142702.07,Davis Realty LLC,Institutional,Johnson Properties Development,2024-01-01,2024-06-30,"New York, NY"
PROP_000065,7892 Commerce Dr,New York,NY,10003,Corporate Campus,office,2009,252594,292976468.66,131176703.01,0.4477,0.021,2754710.76,0.0661,0.212,0.3143,28231196.27,22247222.03,6992420.96,15254801.07,1159.87,fair,2024-09-01,287178242.74,Garcia Properties Real Estate,Private,Metropolitan Management Real Estate,2024-01-01,2024-06-30,"New York, NY"
PROP_000066,5582 Oak Ave,New York,NY,10010,Corporate Campus,office,1980,200787,137864195.18,61340432.69,0.4449,0.021,1288149.09,0.0672,0.2049,0.2605,12519349.01,9954222.56,2592807.24,7361415.32,686.62,fair,2024-04-20,141060615.84,Jones Ventures Corp,Institutional,Global Partners Properties,2024-01-01,2024-06-30,"New York, NY"
PROP_000067,8724 Oak Ave,New York,NY,10011,Medical Office,office,1976,321972,344123252.25,151906735.0,0.4414,0.021,3190041.44,0.0717,0.1253,0.4126,41987833.38,36725252.13,15154196.27,21571055.85,1068.8,fair,2019-08-30,325103986.31,Williams Capital Investment Group,Government,Global Investments Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000068,6272 Park Blvd,New York,NY,10003,Class C Office,office,1972,276175,314665508.21,125083161.12,0.3975,0.021,2626746.38,0.0707,0.1174,0.2762,30715866.91,27111271.64,7488399.14,19622872.5,1139.37,under_10,2023-05-03,356370652.47,Williams Management LLC,Government,Brown Management Development,2024-01-01,2024-06-30,"New York, NY"
PROP_000069,9445 Industrial Way,New York,NY,10016,Class C Office,office,2017,132684,155661300.08,73308977.04,0.471,0.021,1539488.52,0.0762,0.2069,0.2888,16669092.75,13220690.05,3818178.06,9402511.99,1173.17,fair,2016-09-25,142073421.76,Rodriguez Holdings Corp,Private,Williams Group Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000070,8510 Park Blvd,New York,NY,10011,Medical Office,office,2007,300739,491933262.83,202031525.65,0.4107,0.021,4242662.04,0.0705,0.107,0.3046,49886900.09,44548373.06,13567574.98,30980798.08,1635.75,under_10,2024-05-02,579775476.04,Metropolitan Partners LLC,Government,Central Partners LP,2024-01-01,2024-06-30,"New York, NY"
PROP_000071,2354 Main St,New York,NY,10005,Medical Office,office,1970,206562,106981111.63,53868236.89,0.5035,0.021,1131232.97,0.066,0.2178,0.4083,11932229.63,9332969.32,3810428.57,5522540.75,517.91,over_10,2016-01-22,105802390.87,Davis Management Development,REIT,Smith Group LP,2024-01-01,2024-06-30,"New York, NY"
PROP_000072,7589 Oak Ave,New York,NY,10002,Class B Office,office,2014,68293,102806785.61,45343118.23,0.4411,0.021,952205.48,0.0568,0.0595,0.4088,9875691.37,9287595.04,3796581.44,5491013.6,1505.38,fair,2015-12-24,119467525.22,Smith Trust Development,Private,Jones Holdings Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000073,8718 Commerce Dr,New York,NY,10017,Corporate Campus,office,2005,136124,150331888.14,68761310.83,0.4574,0.021,1443987.53,0.079,0.0671,0.2635,16123176.88,15040944.25,3963828.25,11077116.0,1104.37,fair,2016-07-17,179696605.85,Miller Management LLC,Government,Jones Realty Investment Group,2024-01-01,2024-06-30,"New York, NY"
PROP_000074,9045 Market St,New York,NY,10003,Class A Office,office,2004,136419,179454350.85,82946952.51,0.4622,0.021,1741886.0,0.0533,0.197,0.2589,12905986.17,10363024.25,2682646.43,7680377.83,1315.46,fair,2016-01-19,199491692.01,Davis Investments Corp,REIT,Davis Realty Properties,2024-01-01,2024-06-30,"New York, NY"
PROP_000075,7856 Broadway,New York,NY,10001,Class B Office,office,1965,424769,207880647.04,91821258.46,0.4417,0.021,1928246.43,0.0559,0.112,0.4131,19809467.98,17590506.93,7266307.99,10324198.93,489.4,fair,2016-11-30,220095755.34,American Partners Properties,REIT,Miller Holdings Holdings,2024-01-01,2024-06-30,"New York, NY"
PROP_000076,7055 Oak Ave,New York,NY,10011,Medical Office,office,2003,107946,106096535.52,61737140.94,0.5819,0.021,1296479.96,0.0507,0.2095,0.2665,7329175.93,5794020.1,1544235.57,4249784.53,982.87,over_30,2018-08-10,127107815.53,Premier Partners Inc,REIT,Jones Group Holdings,2024-01-01,2024-06-30,"New York, NY"
PROP_000077,7226 Broadway,New York,NY,10001,Corporate Campus,office,2014,97369,133999060.9,66189260.54,0.494,0.021,1389974.47,0.0765,0.1954,0.373,16340761.68,13148383.43,4903956.46,8244426.96,1376.2,over_10,2024-07-09,143174453.04,Rodriguez Investments LLC,Private,Davis Realty Corp,2024-01-01,2024-06-30,"New York, NY"
PROP_000078,6177 Market St,New York,NY,10016,Class A Office,office,1990,418166,433315184.85,213485949.36,0.4927,0.021,4483204.94,0.0642,0.1634,0.3858,45296386.66,37892740.81,14619489.7,23273251.1,1036.23,over_10,2016-10-21,359978397.4,Pacific Holdings Investment Group,Institutional,National Realty Corp,2024-01-01,2024-06-30,"New York, NY"
